Region,Country,Measure Code,Measure,Currency Code,Amount (Local),Amount USD,Source,Post Date,Details
Central and West Asia,Afghanistan,1,01 - Liquidity Support,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,01A,01A - Short-term lending,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,01B,01B - Support policies for short-term lending,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 14 April 2020).,7/27/2020,No estimate/amount: The Financial Stability Committee is meeting regularly to assess evolving risks to the financial and monetary stability. Da Afghanistan Bank or DAB (central bank) has intensified its monitoring of banks and indicated its readiness to provide liquidity as needed.
Central and West Asia,Afghanistan,01C,01C - Forex operations,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 6 May 2020).,7/27/2020,"No amount/estimate: (i) DAB is in discussions with money-service providers, who play a systemic role in financial transactions, to ensure uninterrupted services, including transactions in foreign currency, and to encourage enhancement of their remote services given closures; (ii) DAB remains focused on price stability and is committed to exchange rate flexibility, limiting its foreign interventions to preventing excessive volatility."
Central and West Asia,Afghanistan,2,02 - Credit creation,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,02A,02A - Financial sector lending/funding,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,02B,02B - Support policies for long-term lending,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 6 May 2020).,7/27/2020,"No estimate/amount: (i) The authorities increased the frequency of Financial Stability Committee meetings, enhanced the monitoring of early signs of liquidity stress, and reviewed banks’ business continuity plans; (ii)  DAB has suspended administrative penalties and fees, postponed the IFRS-9 implementation to June 2021, and froze loan classifications at the pre-pandemic cutoff of end-February."
Central and West Asia,Afghanistan,02C,02C - Loan guarantees,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,3,03 - Direct long-term lending,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,03A,03A - Long-term lending,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,03B,03B - Forbearance,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,4,04 - Equity support,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,5,05 - Government support to income/revenue,AFN,8000000000,101662492,,7/27/2020,
Central and West Asia,Afghanistan,05A,05A - Health,AFN,8000000000,101662492,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 6 May 2020).,7/27/2020,"(i) The government has so far allocated AFN1.9 billion (0.1% of GDP) in the budget for emergency health needs, such as (a) establishing testing labs, including at border crossings, (b) setting up special wards to boost hospitalization and care capacity, and (c) procuring the most critical medical supplies; (ii) As of April 22, the government has already allocated a total of AFN8 billion (0.5% of GDP) for emergency pandemic response. The authorities plan to spend about 2% of GDP for critical pandemic-related spending during the year, with about one-third directed to health;"
Central and West Asia,Afghanistan,05B,05B - Non-health,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 26 June 2020).,7/27/2020,"No amount/estimate: To ease tax compliance, the government extended filing deadlines, initially to May 20, now to July 5 for individual and business taxpayers."
Central and West Asia,Afghanistan,6,06 - Budget reallocation,AFN,,,IMF. https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#U (accessed 6 May 2020).,7/27/2020,"No amount/estimate: The government is working to identify nonessential spending that can be curtailed to create space for pandemic-related spending, including social relief package for the affected households and measures to prevent permanent damage to the Afghan economy."
Central and West Asia,Afghanistan,7,07 - Central bank financing government,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,07A,07A - Direct lending & reserve drawdown,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,07B,07B - Secondary purchase: government securities,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,8,08 - International Assistance Received,AFN,77727166704,987742181,,7/27/2020,
Central and West Asia,Afghanistan,08A,08A - Swaps,AFN,,,,7/27/2020,
Central and West Asia,Afghanistan,08B,08B - International loans/grants,AFN,77727166704,987742181,,7/27/2020,
